id,year,state_name,state_code,district_name,district_code,registration_circles,protection_of_civil_rights_act,murder,attempt_to_commit_murder,rape,attempt_to_commit_rape,assault_on_women,insult_to_the_modesty_of_women,kidnapping_and_abduction,dacoity,robbery,arson,grievous_hurt,riots,other_ipc_crimes,sc_st_prevention_of_atrocities
486,2016,Nagaland,13,Phek,248,Phek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,2016,Nagaland,13,Tuensang,249,Tuensang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,2016,Nagaland,13,Wokha,250,Wokha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,2016,Nagaland,13,Zunheboto,251,Zunheboto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,2016,Odisha,21,Anugul,344,Angul,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0
491,2016,Odisha,21,Baleshwar,346,Balasore,0,0,3,4,0,0,0,0,0,0,0,0,5,31,0
492,2016,Odisha,21,Bargarh,347,Baragarh,0,0,0,4,0,6,0,0,0,0,0,5,4,33,0
493,2016,Odisha,21,Baleshwar,346,Berhampur,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
494,2016,Odisha,21,Bhadrak,348,Bhadrak,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0
495,2016,Odisha,21,Balangir,345,Bolangir,0,2,0,13,0,0,0,0,0,0,1,25,4,38,0
496,2016,Odisha,21,Boudh,349,Boudh,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
497,2016,Odisha,21,Cuttack,350,Cuttack,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0
498,2016,Odisha,21,Khordha,362,Dcp Bbsr,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0
499,2016,Odisha,21,Cuttack,350,Dcp Ctc,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
500,2016,Odisha,21,Deogarh,351,Deogarh,0,1,0,1,0,0,0,0,0,0,0,0,1,10,0
501,2016,Odisha,21,Dhenkanal,352,Dhenkanal,0,0,3,2,0,5,0,2,0,0,1,2,1,11,0
502,2016,Odisha,21,Gajapati,353,Gajapati,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
503,2016,Odisha,21,Ganjam,354,Ganjam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
504,2016,Odisha,21,Jagatsinghapur,355,Jagatsinghpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,2016,Odisha,21,Jajapur,356,Jajpur,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0
506,2016,Odisha,21,Jharsuguda,357,Jharsuguda,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
507,2016,Odisha,21,Kalahandi,358,Kalahandi,0,0,1,6,0,0,1,0,0,0,0,0,1,21,0
508,2016,Odisha,21,Kandhamal,359,Kandhamal,0,0,0,5,0,0,0,0,0,0,0,0,2,25,0
509,2016,Odisha,21,Kendrapara,360,Kendrapara,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
510,2016,Odisha,21,Kendujhar,361,Keonjhar,0,1,1,12,0,8,1,6,0,0,0,1,1,18,0
511,2016,Odisha,21,Khordha,362,Khurda,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
512,2016,Odisha,21,Koraput,363,Koraput,0,2,0,12,0,0,0,0,0,0,0,0,2,17,0
513,2016,Odisha,21,Malkangiri,364,Malkangiri,0,0,1,0,0,2,0,0,0,0,0,1,1,1,0
514,2016,Odisha,21,Mayurbhanj,365,Mayurbhanj,0,2,4,8,0,15,0,8,0,0,0,5,2,31,0
515,2016,Odisha,21,Nayagarh,367,Nayagarh,0,0,0,1,0,0,0,0,0,0,0,2,0,6,0
516,2016,Odisha,21,Nabarangpur,366,Nabarangpur,0,0,0,4,0,0,0,0,0,0,0,0,1,32,0
517,2016,Odisha,21,Nuapada,368,Nuapada,0,0,0,4,0,0,0,0,0,0,0,0,1,40,0
518,2016,Odisha,21,Puri,369,Puri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,2016,Odisha,21,Rayagada,370,Rayagada,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0
520,2016,Odisha,21,Sundargarh,373,Rourkela,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0
